Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y,source_file,cleaned_date
Brewer-Burroughs Tot Lot,,Jamaica Plain,31.0,Playground,UA,,,,2-5,POINT (-71.115539364999961 42.311708055000054),-71.11553936499996,42.311708055000054,park_features.csv,2025-11-30 19:58:11
Harambee Park,Harambee Park (Talbot Street),Dorchester,142.0,Playground,UA,,,,"2-5,5-12",POINT (-71.08302972499996 42.293122385000061),-71.08302972499996,42.29312238500006,park_features.csv,2025-11-30 19:58:11
Thetford/Evans Playground,,Dorchester,302.0,Playground,UA,,,,"2-5,5-12",POINT (-71.077720872999976 42.283126417000062),-71.07772087299998,42.28312641700006,park_features.csv,2025-11-30 19:58:11
Walker Playground,,Mattapan,310.0,Playground,UA,,,,"2-5,5-12",POINT (-71.090571225999952 42.277824599000041),-71.09057122599995,42.27782459900004,park_features.csv,2025-11-30 19:58:11
Parkman Playground,,Jamaica Plain,229.0,Playground,UA,,,,"2-5,5-12",POINT (-71.113725144999933 42.29573864300005),-71.11372514499993,42.29573864300005,park_features.csv,2025-11-30 19:58:11
Healy Playground,,Roslindale,149.0,Playground,UA,,,,"2-5,5-12",POINT (-71.122473250999974 42.287995683000076),-71.12247325099997,42.28799568300008,park_features.csv,2025-11-30 19:58:11
Fallon Field,,Roslindale,112.0,Playground,UA,,,,"2-5,5-12",POINT (-71.136090829999944 42.287829678000037),-71.13609082999994,42.28782967800004,park_features.csv,2025-11-30 19:58:11
Clifford Playground,Norfolk Avenue,Roxbury,59.0,Playground,UA,,,,"2-5,5-12",POINT (-71.070413456999972 42.326258239000026),-71.07041345699997,42.326258239000026,park_features.csv,2025-11-30 19:58:11
Hannon Playground,,Roxbury,141.0,Playground,Bucket Swing,,,,"2-5,5-12",POINT (-71.071305957999982 42.319854320000047),-71.07130595799998,42.31985432000005,park_features.csv,2025-11-30 19:58:11
Doris F. Tillman Playground,,Roxbury,174.0,Playground,UA,,,,"2-5,5-12",POINT (-71.090719569999976 42.327080479000074),-71.09071956999998,42.327080479000074,park_features.csv,2025-11-30 19:58:11
Laviscount Park,,Roxbury,177.0,Playground,UA,,,,"2-5,5-12",POINT (-71.086318612999946 42.316343473000074),-71.08631861299995,42.316343473000074,park_features.csv,2025-11-30 19:58:11
Trotter School Playground,,Roxbury,306.0,Playground,UA,,,,"2-5,5-12",POINT (-71.088394476999952 42.315065883000045),-71.08839447699995,42.315065883000045,park_features.csv,2025-11-30 19:58:11
Marcella Playground,,Roxbury,187.0,Playground,UA,,,,"2-5,5-12",POINT (-71.095661357999973 42.323278855000069),-71.09566135799997,42.32327885500007,park_features.csv,2025-11-30 19:58:11
Franklin Park,El Parquesito,Roxbury,124.0,Playground,UA,,,,"2-5,5-12",POINT (-71.096996358999945 42.311893385000076),-71.09699635899995,42.31189338500008,park_features.csv,2025-11-30 19:58:11
Franklin Park,Tiffany Moore,Roxbury,124.0,Playground,UA,,,,"2-5,5-12",POINT (-71.091555268999969 42.30881725200004),-71.09155526899997,42.30881725200004,park_features.csv,2025-11-30 19:58:11
Franklin Park,American Legion Highway,Roxbury,124.0,Playground,UA,,,,"2-5,5-12",POINT (-71.090347730999952 42.297745116000044),-71.09034773099995,42.29774511600005,park_features.csv,2025-11-30 19:58:11
Beauford Play Area,,Roxbury,18.0,Playground,UA,,,,"2-5,5-12",POINT (-71.075648082999976 42.315904681000063),-71.07564808299998,42.31590468100006,park_features.csv,2025-11-30 19:58:11
Ceylon Park,Columbia Road,Dorchester,49.0,Playground,UA,,,,2-12,POINT (-71.073744784999974 42.309555468000042),-71.07374478499997,42.30955546800004,park_features.csv,2025-11-30 19:58:11
Ceylon Park,Magnolia Street,Dorchester,49.0,Playground,UA,,,,UA,POINT (-71.074278791999973 42.310611061000031),-71.07427879199997,42.31061106100003,park_features.csv,2025-11-30 19:58:11
Mt. Pleasant Play Area,,Roxbury,208.0,Playground,UA,,,,"2-5,5-12",POINT (-71.079232904999969 42.327231097000038),-71.07923290499997,42.32723109700004,park_features.csv,2025-11-30 19:58:11
Howes Playground,,Roxbury,158.0,Playground,UA,,,,"2-5,5-12",POINT (-71.079131741999959 42.324093125000047),-71.07913174199996,42.32409312500005,park_features.csv,2025-11-30 19:58:11
Little Scobie Playground,,Roxbury,181.0,Playground,UA,,,,"2-5,5-12",POINT (-71.08051493399995 42.32257701900005),-71.08051493399995,42.32257701900005,park_features.csv,2025-11-30 19:58:11
Erie/Ellington Playground,,Dorchester,108.0,Playground,UA,,,,"2-5,5-12",POINT (-71.083667214999934 42.30128772900008),-71.08366721499993,42.30128772900008,park_features.csv,2025-11-30 19:58:11
Holborn Street Playlot,,Roxbury,155.0,Playground,UA,,,,"2-5,5-12",POINT (-71.082602961999953 42.315289842000027),-71.08260296199995,42.31528984200003,park_features.csv,2025-11-30 19:58:11
Medal of Honor Park,,South Boston,196.0,Playground,UA,,,,"2-5,5-12",POINT (-71.032261600999959 42.337024810000059),-71.03226160099996,42.33702481000006,park_features.csv,2025-11-30 19:58:11
