Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y
Ceylon Park,Magnolia Street,Dorchester,49,Playground,UA,N/A,N/A,N/A,UA,POINT (-71.074278791999973 42.310611061000031),-71.074278791999973,42.310611061000031
Mt. Pleasant Play Area,N/A,Roxbury,208,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.079232904999969 42.327231097000038),-71.079232904999969,42.327231097000038
Howes Playground,N/A,Roxbury,158,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.079131741999959 42.324093125000047),-71.079131741999959,42.324093125000047
Little Scobie Playground,N/A,Roxbury,181,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.08051493399995 42.32257701900005),-71.080514933999950,42.322577019000050
Erie/Ellington Playground,N/A,Dorchester,108,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.083667214999934 42.30128772900008),-71.083667214999934,42.301287729000080
Holborn Street Playlot,N/A,Roxbury,155,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.082602961999953 42.315289842000027),-71.082602961999953,42.315289842000027
Medal of Honor Park,N/A,South Boston,196,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.032261600999959 42.337024810000059),-71.032261600999959,42.337024810000059
Smith Playground,N/A,Allston-Brighton,284,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.132376194999949 42.363561401000027),-71.132376194999949,42.363561401000027
Portsmouth Street Playground,N/A,Allston-Brighton,243,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.144645963999949 42.359410832000037),-71.144645963999949,42.359410832000037
Hobart Park,N/A,Allston-Brighton,154,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.161423643999967 42.355472028000065),-71.161423643999967,42.355472028000065
Joyce Playground,N/A,Allston-Brighton,169,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.151184771999965 42.345299407000027),-71.151184771999965,42.345299407000027
Hardiman Playground,N/A,Allston-Brighton,143,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.166533607999952 42.351284303000057),-71.166533607999952,42.351284303000057
Downer Avenue Playground,N/A,Dorchester,92,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.061647369999946 42.311633335000067),-71.061647369999946,42.311633335000067
McConnell Park,N/A,Dorchester,191,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.051699846999952 42.308214375000034),-71.051699846999952,42.308214375000034
Boston Common,N/A,Back Bay/Beacon Hill,27,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.064688062999949 42.356099229000051),-71.064688062999949,42.356099229000051
Christopher Columbus Park,N/A,Central Boston,56,Playground,UA,N/A,N/A,N/A,5-12,POINT (-71.051234117999968 42.361724028000026),-71.051234117999968,42.361724028000026
Myrtle Street Playground,N/A,Back Bay/Beacon Hill,212,Playground,UA,N/A,N/A,N/A,2-5,POINT (-71.066115491999938 42.359245117000057),-71.066115491999938,42.359245117000057
Langone Park,N/A,Central Boston,175,Playground,N/A,N/A,N/A,N/A,"2-5,5-12",POINT (-71.056761801999983 42.368700209000053),-71.056761801999983,42.368700209000053
Leo F. McCarthy Playground,N/A,Charlestown,101,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.068359046999944 42.37986061600003),-71.068359046999944,42.379860616000030
Doherty Playground,N/A,Charlestown,87,Playground,UA,N/A,N/A,N/A,5-12,POINT (-71.06772626999998 42.382402619000061),-71.067726269999980,42.382402619000061
Noyes Playground,N/A,East Boston,216,Playground,UA,N/A,N/A,N/A,"2-5,5-12",POINT (-71.010968333999983 42.388515594000069),-71.010968333999983,42.388515594000069
